bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
2.0,Super built-up  Area,Electronic City Phase II,Electronic City Phase II,1056.0,39.07,L,Under Construction,New,3907000.0,3699.810606060606
4.0,Plot  Area,Chikka Tirupathi,Chikka Tirupathi,2600.0,120.0,L,Ready,Unknown,12000000.0,4615.384615384615
3.0,Built-up  Area,Uttarahalli,Uttarahalli,1440.0,62.0,L,Ready,Unknown,6200000.0,4305.555555555556
3.0,Super built-up  Area,Lingadheeranahalli,Lingadheeranahalli,1521.0,95.0,L,Ready,Unknown,9500000.0,6245.890861275477
2.0,Super built-up  Area,Kothanur,Kothanur,1200.0,51.0,L,Ready,Unknown,5100000.0,4250.0
2.0,Super built-up  Area,Whitefield,Whitefield,1170.0,38.0,L,Ready,Unknown,3800000.0,3247.863247863248
4.0,Super built-up  Area,Old Airport Road,Old Airport Road,2732.0,204.0,L,Under Construction,New,20400000.0,7467.0571010248905
4.0,Super built-up  Area,Rajaji Nagar,Rajaji Nagar,3300.0,600.0,L,Ready,Unknown,60000000.0,18181.81818181818
3.0,Super built-up  Area,Marathahalli,Marathahalli,1310.0,63.25,L,Ready,Unknown,6325000.0,4828.244274809161
6.0,Plot  Area,Gandhi Bazar,Gandhi Bazar,1020.0,370.0,L,Ready,Unknown,37000000.0,36274.509803921566
3.0,Super built-up  Area,Whitefield,Whitefield,1800.0,70.0,L,Under Construction,New,7000000.0,3888.8888888888887
4.0,Plot  Area,Whitefield,Whitefield,2785.0,295.0,L,Ready,Unknown,29500000.0,10592.45960502693
2.0,Super built-up  Area,7th Phase JP Nagar,7th Phase JP Nagar,1000.0,38.0,L,Ready,Unknown,3800000.0,3800.0
2.0,Built-up  Area,Gottigere,Gottigere,1100.0,40.0,L,Ready,Unknown,4000000.0,3636.3636363636365
3.0,Plot  Area,Sarjapur,Sarjapur,2250.0,148.0,L,Ready,Unknown,14800000.0,6577.777777777777
2.0,Super built-up  Area,Mysore Road,Mysore Road,1175.0,73.5,L,Ready,Unknown,7350000.0,6255.31914893617
3.0,Super built-up  Area,Bisuvanahalli,Bisuvanahalli,1180.0,48.0,L,Ready,Unknown,4800000.0,4067.7966101694915
3.0,Super built-up  Area,Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1540.0,60.0,L,Ready,Unknown,6000000.0,3896.103896103896
3.0,Super built-up  Area,Ramakrishnappa Layout,Ramakrishnappa Layout,2770.0,290.0,L,Ready,Unknown,29000000.0,10469.314079422382
2.0,Super built-up  Area,Manayata Tech Park,Manayata Tech Park,1100.0,48.0,L,Ready,Unknown,4800000.0,4363.636363636364
1.0,Built-up  Area,Kengeri,Kengeri,600.0,15.0,L,Ready,Unknown,1500000.0,2500.0
3.0,Super built-up  Area,Binny Pete,Binny Pete,1755.0,122.0,L,Under Construction,New,12200000.0,6951.5669515669515
4.0,Plot  Area,Thanisandra,Thanisandra,2800.0,380.0,L,Ready,Unknown,38000000.0,13571.42857142857
3.0,Super built-up  Area,Bellandur,Bellandur,1767.0,103.0,L,Ready,Unknown,10300000.0,5829.088851160159
1.0,Super built-up  Area, Thanisandra, Thanisandra,510.0,25.25,L,Under Construction,New,2525000.0,4950.980392156863
3.0,Super built-up  Area,Mangammanapalya,Mangammanapalya,1250.0,56.0,L,Under Construction,New,5600000.0,4480.0
2.0,Super built-up  Area,Electronic City,Electronic City,660.0,23.1,L,Ready,Unknown,2310000.0,3500.0
3.0,Built-up  Area,Whitefield,Whitefield,1610.0,81.0,L,Under Construction,New,8100000.0,5031.055900621118
2.0,Super built-up  Area,Ramagondanahalli,Ramagondanahalli,1151.0,48.77,L,Under Construction,New,4877000.0,4237.185056472633
3.0,Super built-up  Area,Electronic City,Electronic City,1025.0,47.0,L,Ready,Unknown,4700000.0,4585.365853658536
4.0,Super built-up  Area,Yelahanka,Yelahanka,2475.0,186.0,L,Under Construction,New,18600000.0,7515.151515151515
3.0,Super built-up  Area,Bisuvanahalli,Bisuvanahalli,1075.0,35.0,L,Ready,Unknown,3500000.0,3255.813953488372
3.0,Super built-up  Area,Hebbal,Hebbal,1760.0,123.0,L,Ready,Unknown,12300000.0,6988.636363636364
3.0,Super built-up  Area,Raja Rajeshwari Nagar,Raja Rajeshwari Nagar,1693.0,57.39,L,Ready,Unknown,5739000.0,3389.84051978736
3.0,Built-up  Area,Kasturi Nagar,Kasturi Nagar,1925.0,125.0,L,Ready,Unknown,12500000.0,6493.506493506494
2.0,Super built-up  Area,Kanakpura Road,Kanakpura Road,700.0,36.0,L,Under Construction,New,3600000.0,5142.857142857143
2.0,Super built-up  Area,Electronics City Phase 1,Electronics City Phase 1,1070.0,45.5,L,Ready,Unknown,4550000.0,4252.336448598131
3.0,Super built-up  Area,Kundalahalli,Kundalahalli,1724.0,125.0,L,Ready,Unknown,12500000.0,7250.580046403712
3.0,Super built-up  Area,Chikkalasandra,Chikkalasandra,1290.0,56.12,L,Ready,Unknown,5612000.0,4350.387596899225
2.0,Built-up  Area,Uttarahalli,Uttarahalli,1143.0,45.0,L,Ready,Unknown,4500000.0,3937.0078740157483
2.0,Built-up  Area,Murugeshpalya,Murugeshpalya,1296.0,81.0,L,Ready,Unknown,8100000.0,6250.0
3.0,Super built-up  Area,Sarjapur  Road,Sarjapur  Road,1254.0,38.0,L,Under Construction,New,3800000.0,3030.3030303030305
1.0,Super built-up  Area,Ganga Nagar,Ganga Nagar,600.0,38.0,L,Ready,Unknown,3800000.0,6333.333333333333
1.0,Plot  Area,Yelahanka,Yelahanka,660.0,48.0,L,Ready,Unknown,4800000.0,7272.727272727273
2.0,Super built-up  Area,Kanakpura Road,Kanakpura Road,1330.74,91.79,L,Under Construction,New,9179000.0,6897.665960292769
8.0,Plot  Area,HSR Layout,HSR Layout,600.0,200.0,L,Ready,Unknown,20000000.0,33333.333333333336
2.0,Super built-up  Area,Doddathoguru,Doddathoguru,970.0,33.0,L,Ready,Unknown,3300000.0,3402.061855670103
2.0,Super built-up  Area,Whitefield,Whitefield,1459.0,94.82,L,Under Construction,New,9482000.0,6498.971898560658
2.0,Plot  Area,KR Puram,KR Puram,800.0,130.0,L,Ready,Unknown,13000000.0,16250.0
2.0,Built-up  Area,Himagiri Meadows,Himagiri Meadows,869.0,36.0,L,Ready,Unknown,3600000.0,4142.692750287687
2.0,Super built-up  Area,Adarsh Nagar,Adarsh Nagar,1270.0,50.0,L,Ready,Unknown,5000000.0,3937.0078740157483
3.0,Super built-up  Area,Bhoganhalli,Bhoganhalli,1670.0,99.0,L,Under Construction,New,9900000.0,5928.143712574851
3.0,Built-up  Area,Whitefield,Whitefield,2010.0,91.0,L,Ready,Unknown,9100000.0,4527.363184079602
2.0,Super built-up  Area,Lakshminarayana Pura,Lakshminarayana Pura,1185.0,75.0,L,Ready,Unknown,7500000.0,6329.113924050633
3.0,Super built-up  Area,Yelahanka,Yelahanka,1600.0,75.0,L,Ready,Unknown,7500000.0,4687.5
2.0,Super built-up  Area,Begur Road,Begur Road,1200.0,44.0,L,Ready,Unknown,4400000.0,3666.6666666666665
4.0,Built-up  Area,Devanahalli,Devanahalli,3210.0,192.0,L,Under Construction,New,19200000.0,5981.308411214954
2.0,Super built-up  Area,Ramakrishnappa Layout,Ramakrishnappa Layout,1500.0,185.0,L,Ready,Unknown,18500000.0,12333.333333333334
6.0,Plot  Area,Murugeshpalya,Murugeshpalya,1407.0,150.0,L,Ready,Unknown,15000000.0,10660.980810234541
2.0,Super built-up  Area,Govindaraja Nagar Ward,Govindaraja Nagar Ward,840.0,45.0,L,Ready,Unknown,4500000.0,5357.142857142857
3.0,Plot  Area,Tharabanahalli,Tharabanahalli,4395.0,240.0,L,Ready,Unknown,24000000.0,5460.750853242321
2.0,Super built-up  Area,Ganga Nagar,Ganga Nagar,845.0,55.0,L,Ready,Unknown,5500000.0,6508.87573964497
2.0,Built-up  Area,Varthur,Varthur,1160.0,44.0,L,Ready,Unknown,4400000.0,3793.103448275862
8.0,Built-up  Area,Bommanahalli,Bommanahalli,3000.0,140.0,L,Ready,Unknown,14000000.0,4666.666666666667
2.0,Super built-up  Area,Doddathoguru,Doddathoguru,1100.0,62.0,L,Ready,Unknown,6200000.0,5636.363636363636
2.0,Super built-up  Area,Gunjur,Gunjur,1140.0,43.0,L,Under Construction,New,4300000.0,3771.9298245614036
2.0,Super built-up  Area,Marathahalli,Marathahalli,1220.0,57.0,L,Ready,Unknown,5700000.0,4672.131147540984
8.0,Plot  Area,Devarachikkanahalli,Devarachikkanahalli,1350.0,85.0,L,Ready,Unknown,8500000.0,6296.2962962962965
2.0,Super built-up  Area,Kanakpura Road,Kanakpura Road,1005.0,36.68,L,Ready,Unknown,3668000.0,3649.7512437810947
3.0,Plot  Area,Double Road,Double Road,500.0,100.0,L,Ready,Unknown,10000000.0,20000.0
2.0,Super built-up  Area,Begur Road,Begur Road,1358.0,80.58,L,Under Construction,New,8058000.0,5933.726067746687
3.0,Super built-up  Area,Hegde Nagar,Hegde Nagar,1569.0,101.0,L,Ready,Unknown,10100000.0,6437.221159974506
2.0,Super built-up  Area,Haralur Road,Haralur Road,1240.0,70.0,L,Under Construction,New,7000000.0,5645.1612903225805
3.0,Super built-up  Area,Hennur Road,Hennur Road,2089.0,140.0,L,Ready,Unknown,14000000.0,6701.771182383915
2.0,Super built-up  Area,Kothannur,Kothannur,1206.0,48.23,L,Ready,Unknown,4823000.0,3999.1708126036483
2.0,Super built-up  Area,Kalena Agrahara,Kalena Agrahara,1150.0,40.0,L,Ready,Unknown,4000000.0,3478.2608695652175
3.0,Built-up  Area,Cholanayakanahalli,Cholanayakanahalli,2511.0,205.0,L,Ready,Unknown,20500000.0,8164.078056551175
2.0,Built-up  Area,Kaval Byrasandra,Kaval Byrasandra,460.0,22.0,L,Ready,Unknown,2200000.0,4782.608695652174
6.0,Built-up  Area,ISRO Layout,ISRO Layout,4400.0,250.0,L,Ready,Unknown,25000000.0,5681.818181818182
3.0,Super built-up  Area,Kodanda Reddy Layout,Kodanda Reddy Layout,1660.0,105.0,L,Ready,Unknown,10500000.0,6325.301204819277
4.0,Built-up  Area,Hennur Road,Hennur Road,3203.5,224.5,L,Under Construction,New,22450000.0,7007.960043702201
2.0,Super built-up  Area,Yelahanka,Yelahanka,1326.0,78.0,L,Under Construction,New,7800000.0,5882.35294117647
3.0,Super built-up  Area,Garudachar Palya,Garudachar Palya,1325.0,60.8,L,Ready,Unknown,6080000.0,4588.679245283019
3.0,Super built-up  Area,EPIP Zone,EPIP Zone,1499.0,102.0,L,Ready,Unknown,10200000.0,6804.536357571715
6.0,Built-up  Area,Hegde Nagar,Hegde Nagar,3000.0,210.0,L,Ready,Unknown,21000000.0,7000.0
3.0,Super built-up  Area,Kanakpura Road,Kanakpura Road,1665.0,88.0,L,Ready,Unknown,8800000.0,5285.285285285286
2.0,Super built-up  Area,Dasanapura,Dasanapura,708.0,37.0,L,Under Construction,New,3700000.0,5225.988700564972
2.0,Super built-up  Area,Kasavanhalli,Kasavanhalli,1060.0,58.06,L,Ready,Unknown,5806000.0,5477.358490566037
6.0,Plot  Area,Rajaji Nagar,Rajaji Nagar,710.0,160.0,L,Ready,Unknown,16000000.0,22535.211267605635
