bhk,type,locality,region,area,price,price_unit,status,age,price_in_inr,price_per_sqft
2.0,Super built-up  Area,Alandi Road,Alandi Road,1056.0,39.07,L,Under Construction,Under Construction,3907000.0,3699.810606060606
4.0,Plot  Area,Ambegaon Budruk,Ambegaon Budruk,2600.0,120.0,L,Ready,Ready,12000000.0,4615.384615384615
3.0,Built-up  Area,Anandnagar,Anandnagar,1440.0,62.0,L,Ready,Ready,6200000.0,4305.555555555556
3.0,Super built-up  Area,Aundh,Aundh,1521.0,95.0,L,Ready,Ready,9500000.0,6245.890861275477
2.0,Super built-up  Area,Aundh Road,Aundh Road,1200.0,51.0,L,Ready,Ready,5100000.0,4250.0
2.0,Super built-up  Area,Balaji Nagar,Balaji Nagar,1170.0,38.0,L,Ready,Ready,3800000.0,3247.863247863248
4.0,Super built-up  Area,Baner,Baner,2732.0,204.0,L,Under Construction,Under Construction,20400000.0,7467.0571010248905
4.0,Super built-up  Area,Baner road,Baner road,3300.0,600.0,L,Ready,Ready,60000000.0,18181.81818181818
3.0,Super built-up  Area,Bhandarkar Road,Bhandarkar Road,1310.0,63.25,L,Ready,Ready,6325000.0,4828.244274809161
6.0,Plot  Area,Bhavani Peth,Bhavani Peth,1020.0,370.0,L,Ready,Ready,37000000.0,36274.509803921566
3.0,Super built-up  Area,Bibvewadi,Bibvewadi,1800.0,70.0,L,Under Construction,Under Construction,7000000.0,3888.8888888888887
4.0,Plot  Area,Bopodi,Bopodi,2785.0,295.0,L,Ready,Ready,29500000.0,10592.45960502693
2.0,Super built-up  Area,Budhwar Peth,Budhwar Peth,1000.0,38.0,L,Ready,Ready,3800000.0,3800.0
2.0,Built-up  Area,Bund Garden Road,Bund Garden Road,1100.0,40.0,L,Ready,Ready,4000000.0,3636.3636363636365
3.0,Plot  Area,Camp,Camp,2250.0,148.0,L,Ready,Ready,14800000.0,6577.777777777777
2.0,Super built-up  Area,Chandan Nagar,Chandan Nagar,1175.0,73.5,L,Ready,Ready,7350000.0,6255.31914893617
3.0,Super built-up  Area,Dapodi,Dapodi,1180.0,48.0,L,Ready,Ready,4800000.0,4067.7966101694915
3.0,Super built-up  Area,Deccan Gymkhana,Deccan Gymkhana,1540.0,60.0,L,Ready,Ready,6000000.0,3896.103896103896
3.0,Super built-up  Area,Dehu Road,Dehu Road,2770.0,290.0,L,Ready,Ready,29000000.0,10469.314079422382
2.0,Super built-up  Area,Dhankawadi,Dhankawadi,1100.0,48.0,L,Ready,Ready,4800000.0,4363.636363636364
1.0,Built-up  Area,Dhayari Phata,Dhayari Phata,600.0,15.0,L,Ready,Ready,1500000.0,2500.0
3.0,Super built-up  Area,Dhole Patil Road,Dhole Patil Road,1755.0,122.0,L,Under Construction,Under Construction,12200000.0,6951.5669515669515
4.0,Plot  Area,Erandwane,Erandwane,2800.0,380.0,L,Ready,Ready,38000000.0,13571.42857142857
3.0,Super built-up  Area,Fatima Nagar,Fatima Nagar,1767.0,103.0,L,Ready,Ready,10300000.0,5829.088851160159
1.0,Super built-up  Area,Fergusson College Road,Fergusson College Road,510.0,25.25,L,Under Construction,Under Construction,2525000.0,4950.980392156863
3.0,Super built-up  Area,Ganesh Peth,Ganesh Peth,1250.0,56.0,L,Under Construction,Under Construction,5600000.0,4480.0
2.0,Super built-up  Area,Ganeshkhind,Ganeshkhind,660.0,23.1,L,Ready,Ready,2310000.0,3500.0
3.0,Built-up  Area,Ghorpade Peth,Ghorpade Peth,1610.0,81.0,L,Under Construction,Under Construction,8100000.0,5031.055900621118
2.0,Super built-up  Area,other,other,1151.0,48.77,L,Under Construction,Under Construction,4877000.0,4237.185056472633
3.0,Super built-up  Area,Gokhale Nagar,Gokhale Nagar,1025.0,47.0,L,Ready,Ready,4700000.0,4585.365853658536
4.0,Super built-up  Area,Gultekdi,Gultekdi,2475.0,186.0,L,Under Construction,Under Construction,18600000.0,7515.151515151515
3.0,Super built-up  Area,Guruwar peth,Guruwar peth,1075.0,35.0,L,Ready,Ready,3500000.0,3255.813953488372
3.0,Super built-up  Area,Hadapsar,Hadapsar,1760.0,123.0,L,Ready,Ready,12300000.0,6988.636363636364
3.0,Super built-up  Area,Hadapsar Industrial Estate,Hadapsar Industrial Estate,1693.0,57.39,L,Ready,Ready,5739000.0,3389.84051978736
3.0,Built-up  Area,Hingne Khurd,Hingne Khurd,1925.0,125.0,L,Ready,Ready,12500000.0,6493.506493506494
2.0,Super built-up  Area,Jangali Maharaj Road,Jangali Maharaj Road,700.0,36.0,L,Under Construction,Under Construction,3600000.0,5142.857142857143
2.0,Super built-up  Area,Kalyani Nagar,Kalyani Nagar,1070.0,45.5,L,Ready,Ready,4550000.0,4252.336448598131
3.0,Super built-up  Area,Karve Nagar,Karve Nagar,1724.0,125.0,L,Ready,Ready,12500000.0,7250.580046403712
3.0,Super built-up  Area,Karve Road,Karve Road,1290.0,56.12,L,Ready,Ready,5612000.0,4350.387596899225
2.0,Built-up  Area,Kasba Peth,Kasba Peth,1143.0,45.0,L,Ready,Ready,4500000.0,3937.0078740157483
2.0,Built-up  Area,Katraj,Katraj,1296.0,81.0,L,Ready,Ready,8100000.0,6250.0
3.0,Super built-up  Area,Khadaki,Khadaki,1254.0,38.0,L,Under Construction,Under Construction,3800000.0,3030.3030303030305
1.0,Super built-up  Area,Khadki,Khadki,600.0,38.0,L,Ready,Ready,3800000.0,6333.333333333333
1.0,Plot  Area,Kharadi,Kharadi,660.0,48.0,L,Ready,Ready,4800000.0,7272.727272727273
2.0,Super built-up  Area,Kondhwa,Kondhwa,1330.74,91.79,L,Under Construction,Under Construction,9179000.0,6897.665960292769
8.0,Plot  Area,Kondhwa Budruk,Kondhwa Budruk,600.0,200.0,L,Ready,Ready,20000000.0,33333.333333333336
2.0,Super built-up  Area,Kondhwa Khurd,Kondhwa Khurd,970.0,33.0,L,Ready,Ready,3300000.0,3402.061855670103
2.0,Super built-up  Area,Koregaon Park,Koregaon Park,1459.0,94.82,L,Under Construction,Under Construction,9482000.0,6498.971898560658
2.0,Plot  Area,Kothrud,Kothrud,800.0,130.0,L,Ready,Ready,13000000.0,16250.0
2.0,Built-up  Area,Law College Road,Law College Road,869.0,36.0,L,Ready,Ready,3600000.0,4142.692750287687
2.0,Super built-up  Area,Laxmi Road,Laxmi Road,1270.0,50.0,L,Ready,Ready,5000000.0,3937.0078740157483
3.0,Super built-up  Area,Lulla Nagar,Lulla Nagar,1670.0,99.0,L,Under Construction,Under Construction,9900000.0,5928.143712574851
3.0,Built-up  Area,Mahatma Gandhi Road,Mahatma Gandhi Road,2010.0,91.0,L,Ready,Ready,9100000.0,4527.363184079602
2.0,Super built-up  Area,Mangalwar peth,Mangalwar peth,1185.0,75.0,L,Ready,Ready,7500000.0,6329.113924050633
3.0,Super built-up  Area,Manik Bagh,Manik Bagh,1600.0,75.0,L,Ready,Ready,7500000.0,4687.5
2.0,Super built-up  Area,Market yard,Market yard,1200.0,44.0,L,Ready,Ready,4400000.0,3666.6666666666665
4.0,Built-up  Area,Model colony,Model colony,3210.0,192.0,L,Under Construction,Under Construction,19200000.0,5981.308411214954
2.0,Super built-up  Area,Mukund Nagar,Mukund Nagar,1500.0,185.0,L,Ready,Ready,18500000.0,12333.333333333334
6.0,Plot  Area,Mundhawa,Mundhawa,1407.0,150.0,L,Ready,Ready,15000000.0,10660.980810234541
2.0,Super built-up  Area,Nagar Road,Nagar Road,840.0,45.0,L,Ready,Ready,4500000.0,5357.142857142857
3.0,Plot  Area,Nana Peth,Nana Peth,4395.0,240.0,L,Ready,Ready,24000000.0,5460.750853242321
2.0,Super built-up  Area,Narayan Peth,Narayan Peth,845.0,55.0,L,Ready,Ready,5500000.0,6508.87573964497
2.0,Built-up  Area,Navi Peth,Navi Peth,1160.0,44.0,L,Ready,Ready,4400000.0,3793.103448275862
8.0,Built-up  Area,Padmavati,Padmavati,3000.0,140.0,L,Ready,Ready,14000000.0,4666.666666666667
2.0,Super built-up  Area,Parvati Darshan,Parvati Darshan,1100.0,62.0,L,Ready,Ready,6200000.0,5636.363636363636
2.0,Super built-up  Area,Pashan,Pashan,1140.0,43.0,L,Under Construction,Under Construction,4300000.0,3771.9298245614036
2.0,Super built-up  Area,Paud Road,Paud Road,1220.0,57.0,L,Ready,Ready,5700000.0,4672.131147540984
8.0,Plot  Area,Pirangut,Pirangut,1350.0,85.0,L,Ready,Ready,8500000.0,6296.2962962962965
2.0,Super built-up  Area,Prabhat Road,Prabhat Road,1005.0,36.68,L,Ready,Ready,3668000.0,3649.7512437810947
3.0,Plot  Area,Pune Railway Station,Pune Railway Station,500.0,100.0,L,Ready,Ready,10000000.0,20000.0
2.0,Super built-up  Area,Rasta Peth,Rasta Peth,1358.0,80.58,L,Under Construction,Under Construction,8058000.0,5933.726067746687
3.0,Super built-up  Area,Raviwar Peth,Raviwar Peth,1569.0,101.0,L,Ready,Ready,10100000.0,6437.221159974506
2.0,Super built-up  Area,Sadashiv Peth,Sadashiv Peth,1240.0,70.0,L,Under Construction,Under Construction,7000000.0,5645.1612903225805
3.0,Super built-up  Area,Sahakar Nagar,Sahakar Nagar,2089.0,140.0,L,Ready,Ready,14000000.0,6701.771182383915
2.0,Super built-up  Area,Salunke Vihar,Salunke Vihar,1206.0,48.23,L,Ready,Ready,4823000.0,3999.1708126036483
2.0,Super built-up  Area,Sasson Road,Sasson Road,1150.0,40.0,L,Ready,Ready,4000000.0,3478.2608695652175
3.0,Built-up  Area,Satara Road,Satara Road,2511.0,205.0,L,Ready,Ready,20500000.0,8164.078056551175
2.0,Built-up  Area,Senapati Bapat Road,Senapati Bapat Road,460.0,22.0,L,Ready,Ready,2200000.0,4782.608695652174
6.0,Built-up  Area,Shaniwar Peth,Shaniwar Peth,4400.0,250.0,L,Ready,Ready,25000000.0,5681.818181818182
3.0,Super built-up  Area,Shivaji Nagar,Shivaji Nagar,1660.0,105.0,L,Ready,Ready,10500000.0,6325.301204819277
4.0,Built-up  Area,Shukrawar Peth,Shukrawar Peth,3203.5,224.5,L,Under Construction,Under Construction,22450000.0,7007.960043702201
2.0,Super built-up  Area,Sinhagad Road,Sinhagad Road,1326.0,78.0,L,Under Construction,Under Construction,7800000.0,5882.35294117647
3.0,Super built-up  Area,Somwar Peth,Somwar Peth,1325.0,60.8,L,Ready,Ready,6080000.0,4588.679245283019
3.0,Super built-up  Area,Swargate,Swargate,1499.0,102.0,L,Ready,Ready,10200000.0,6804.536357571715
6.0,Built-up  Area,Tilak Road,Tilak Road,3000.0,210.0,L,Ready,Ready,21000000.0,7000.0
3.0,Super built-up  Area,Uruli Devachi,Uruli Devachi,1665.0,88.0,L,Ready,Ready,8800000.0,5285.285285285286
2.0,Super built-up  Area,Vadgaon Budruk,Vadgaon Budruk,708.0,37.0,L,Under Construction,Under Construction,3700000.0,5225.988700564972
2.0,Super built-up  Area,Wadgaon Sheri,Wadgaon Sheri,1060.0,58.06,L,Ready,Ready,5806000.0,5477.358490566037
6.0,Plot  Area,Viman Nagar,Viman Nagar,710.0,160.0,L,Ready,Ready,16000000.0,22535.211267605635
2.0,Built-up  Area,Vishrant Wadi,Vishrant Wadi,1000.0,70.0,L,Ready,Ready,7000000.0,7000.0
2.0,Super built-up  Area,Wagholi,Wagholi,1000.0,28.88,L,Under Construction,Under Construction,2888000.0,2888.0
3.0,Super built-up  Area,Wakadewadi,Wakadewadi,1450.0,70.0,L,Ready,Ready,7000000.0,4827.586206896552
4.0,Plot  Area,Wanowrie,Wanowrie,1200.0,155.0,L,Ready,Ready,15500000.0,12916.666666666666
2.0,Super built-up  Area,Warje,Warje,1296.0,80.0,L,Under Construction,Under Construction,8000000.0,6172.83950617284
3.0,Super built-up  Area,Yerawada,Yerawada,1540.0,90.0,L,Ready,Ready,9000000.0,5844.1558441558445
4.0,Plot  Area,Alandi Road,Alandi Road,2894.0,245.0,L,Ready,Ready,24500000.0,8465.791292328957
3.0,Super built-up  Area,Ambegaon Budruk,Ambegaon Budruk,1330.0,48.0,L,Ready,Ready,4800000.0,3609.0225563909776
2.0,Built-up  Area,Anandnagar,Anandnagar,1200.0,65.0,L,Ready,Ready,6500000.0,5416.666666666667
3.0,Built-up  Area,Aundh,Aundh,1200.0,90.0,L,Ready,Ready,9000000.0,7500.0
